phase,phase_name,subtheme,word,english
1,"People & Body","Limbs & torso",стопа,"foot"
1,"People & Body","Limbs & torso",борода,"beard"
1,"People & Body","Inside the body & care",сердце,"heart"
1,"People & Body","Inside the body & care",кровь,"blood"
1,"People & Body","Inside the body & care",кожа,"skin"
1,"People & Body","Inside the body & care",тело,"body"
1,"People & Body","Inside the body & care",сон,"sleep / dream"
1,"People & Body","Inside the body & care",хвост,"tail"
1,"People & Body","Inside the body & care",лапа,"paw"
1,"People & Body","Inside the body & care",болезнь,"illness"
1,"People & Body","Inside the body & care",рана,"wound"
1,"People & Body","Inside the body & care",лекарство,"medicine"
1,"People & Body","Inside the body & care",таблетка,"pill"
2,"Food & Drink","Basics",еда,"food"
2,"Food & Drink","Basics",мука,"flour"
2,"Food & Drink","Fruits & vegetables",фрукт,"fruit"
2,"Food & Drink","Fruits & vegetables",овощ,"vegetable"
2,"Food & Drink","Fruits & vegetables",лимон,"lemon"
2,"Food & Drink","Fruits & vegetables",виноград,"grape"
2,"Food & Drink","Fruits & vegetables",ягода,"berry"
2,"Food & Drink","Fruits & vegetables",лук,"onion"
2,"Food & Drink","Fruits & vegetables",орех,"nut"
2,"Food & Drink","Sweets & treats",шоколад,"chocolate"
2,"Food & Drink","Sweets & treats",пирожок,"small pie"
2,"Food & Drink","Sweets & treats",бутерброд,"sandwich"
2,"Food & Drink","Meals & portions",завтрак,"breakfast"
2,"Food & Drink","Meals & portions",обед,"lunch"
2,"Food & Drink","Meals & portions",ужин,"dinner"
2,"Food & Drink","Meals & portions",напиток,"drink"
2,"Food & Drink","Meals & portions",кусок,"piece"
2,"Food & Drink","Meals & portions",крошка,"crumb"
2,"Food & Drink","Meals & portions",колбаса,"sausage"
2,"Food & Drink","Meals & portions",шашлык,"kebab"
2,"Food & Drink","Meals & portions",рис,"rice"
2,"Food & Drink","Meals & portions",блин,"pancake"
2,"Food & Drink","Tableware",кружка,"mug"
3,"Animals & Nature","Pets & farm animals",кот,"cat (m)"
3,"Animals & Nature","Pets & farm animals",конь,"stallion"
3,"Animals & Nature","Pets & farm animals",петух,"rooster"
3,"Animals & Nature","Pets & farm animals",гусь,"goose"
3,"Animals & Nature","Pets & farm animals",овца,"sheep"
3,"Animals & Nature","Pets & farm animals",коза,"goat"
3,"Animals & Nature","Pets & farm animals",козёл,"billy goat"
3,"Animals & Nature","Pets & farm animals",осёл,"donkey"
3,"Animals & Nature","Pets & farm animals",кролик,"rabbit"
3,"Animals & Nature","Wild animals",акула,"shark"
3,"Animals & Nature","Wild animals",ёжик,"hedgehog"
3,"Animals & Nature","Birds, bugs, sea",голубь,"pigeon"
3,"Animals & Nature","Birds, bugs, sea",попугай,"parrot"
3,"Animals & Nature","Birds, bugs, sea",муха,"fly"
3,"Animals & Nature","Birds, bugs, sea",комар,"mosquito"
3,"Animals & Nature","Birds, bugs, sea",жук,"beetle"
3,"Animals & Nature","Birds, bugs, sea",червь,"worm"
3,"Animals & Nature","Birds, bugs, sea",рак,"crayfish"
3,"Animals & Nature","Birds, bugs, sea",животное,"animal"
3,"Animals & Nature","Birds, bugs, sea",зверь,"beast"
3,"Animals & Nature","Birds, bugs, sea",насекомое,"insect"
3,"Animals & Nature","Animal body parts",рог,"horn"
3,"Animals & Nature","Animal body parts",коготь,"claw"
3,"Animals & Nature","Animal body parts",клюв,"beak"
3,"Animals & Nature","Animal body parts",паутина,"spider web"
3,"Animals & Nature","Sky & celestial",земля,"earth / land"
3,"Animals & Nature","Sky & celestial",туча,"rain cloud"
3,"Animals & Nature","Plants & landscape",ветка,"branch"
3,"Animals & Nature","Plants & landscape",сосна,"pine"
3,"Animals & Nature","Plants & landscape",пень,"stump"
3,"Animals & Nature","Plants & landscape",роза,"rose"
3,"Animals & Nature","Plants & landscape",шишка,"pine cone"
3,"Animals & Nature","Plants & landscape",листок,"small leaf"
3,"Animals & Nature","Water & weather elements",огонь,"fire"
3,"Animals & Nature","Water & weather elements",лёд,"ice"
3,"Animals & Nature","Water & weather elements",грязь,"mud"
3,"Animals & Nature","Water & weather elements",туман,"fog"
3,"Animals & Nature","Water & weather elements",мороз,"frost"
3,"Animals & Nature","Water & weather elements",дым,"smoke"
3,"Animals & Nature","Water & weather elements",гроза,"thunderstorm"
3,"Animals & Nature","Water & weather elements",град,"hail"
4,"Home & Things","Rooms & house parts",туалет,"toilet"
4,"Home & Things","Rooms & house parts",столовая,"dining room"
4,"Home & Things","Rooms & house parts",этаж,"floor (storey)"
4,"Home & Things","Rooms & house parts",крыльцо,"porch"
4,"Home & Things","Rooms & house parts",лестница,"stairs"
4,"Home & Things","Doors, walls, windows",окошко,"little window"
4,"Home & Things","Furniture",лампочка,"bulb"
4,"Home & Things","Furniture",штора,"curtain"
4,"Home & Things","Furniture",тумбочка,"nightstand"
4,"Home & Things","Furniture",табуретка,"stool"
4,"Home & Things","Furniture",буфет,"buffet"
4,"Home & Things","Bedroom & bathroom things",постель,"bedding"
4,"Home & Things","Bedroom & bathroom things",простыня,"sheet"
4,"Home & Things","Bedroom & bathroom things",душ,"shower"
4,"Home & Things","Bedroom & bathroom things",раковина,"sink"
4,"Home & Things","Bedroom & bathroom things",кран,"faucet"
4,"Home & Things","Bedroom & bathroom things",унитаз,"toilet bowl"
4,"Home & Things","Bedroom & bathroom things",щётка,"brush"
4,"Home & Things","Bedroom & bathroom things",горшок,"potty"
4,"Home & Things","Kitchen things",плита,"stove"
4,"Home & Things","Kitchen things",печь,"oven"
4,"Home & Things","Kitchen things",посуда,"dishes"
4,"Home & Things","Containers & small objects",бутылка,"bottle"
4,"Home & Things","Containers & small objects",банка,"jar"
4,"Home & Things","Containers & small objects",коробка,"box"
4,"Home & Things","Containers & small objects",мешок,"sack"
4,"Home & Things","Containers & small objects",ведро,"bucket"
4,"Home & Things","Containers & small objects",корзина,"basket"
4,"Home & Things","Containers & small objects",пакет,"bag"
4,"Home & Things","Containers & small objects",свеча,"candle"
4,"Home & Things","Containers & small objects",стекло,"glass (material)"
4,"Home & Things","Containers & small objects",крышка,"lid"
4,"Home & Things","Containers & small objects",кнопка,"button"
4,"Home & Things","Containers & small objects",пробка,"cork / cap"
4,"Home & Things","Containers & small objects",будильник,"alarm clock"
4,"Home & Things","Containers & small objects",салфетка,"napkin"
4,"Home & Things","Around the house outside",забор,"fence"
4,"Home & Things","Around the house outside",ферма,"farm"
4,"Home & Things","Around the house outside",скамейка,"bench"
4,"Home & Things","Around the house outside",дача,"country house"
4,"Home & Things","Around the house outside",аквариум,"aquarium"
4,"Home & Things","Around the house outside",огород,"vegetable garden"
4,"Home & Things","Tools & misc",молоток,"hammer"
4,"Home & Things","Tools & misc",игла,"needle"
4,"Home & Things","Tools & misc",иголка,"small needle"
4,"Home & Things","Tools & misc",лопата,"shovel"
4,"Home & Things","Tools & misc",клей,"glue"
4,"Home & Things","Tools & misc",краска,"paint"
4,"Home & Things","Tools & misc",пятно,"stain"
5,"Outside World","Clothes",одежда,"clothes"
5,"Outside World","Clothes",халат,"robe"
5,"Outside World","Hats & shoes",шляпа,"wide-brim hat"
5,"Outside World","Hats & shoes",ботинок,"boot"
5,"Outside World","Hats & shoes",туфля,"shoe"
5,"Outside World","Hats & shoes",обувь,"footwear"
5,"Outside World","Hats & shoes",носок,"sock"
5,"Outside World","Hats & shoes",чулок,"stocking"
5,"Outside World","Hats & shoes",валенок,"felt boot"
5,"Outside World","Hats & shoes",перчатка,"glove"
5,"Outside World","Accessories",маска,"mask"
5,"Outside World","Accessories",зонтик,"umbrella"
5,"Outside World","Toys & play",конструктор,"construction set"
5,"Outside World","Toys & play",игра,"game"
5,"Outside World","Toys & play",спорт,"sport"
5,"Outside World","Toys & play",прогулка,"walk"
5,"Outside World","Toys & play",монстр,"monster"
5,"Outside World","Toys & play",чудовище,"creature"
5,"Outside World","Toys & play",приз,"prize"
5,"Outside World","Toys & play",вечеринка,"party"
5,"Outside World","Toys & play",барабан,"drum"
5,"Outside World","Toys & play",гитара,"guitar"
5,"Outside World","Toys & play",футбол,"soccer"
5,"Outside World","Toys & play",плавание,"swimming"
5,"Outside World","School & art",класс,"class"
5,"Outside World","School & art",буква,"letter"
5,"Outside World","School & art",портфель,"satchel"
5,"Outside World","School & art",мел,"chalk"
5,"Outside World","School & art",задание,"task"
5,"Outside World","School & art",алфавит,"alphabet"
5,"Outside World","School & art",рассказ,"story"
5,"Outside World","Transport",грузовик,"truck"
5,"Outside World","Transport",вертолёт,"helicopter"
5,"Outside World","Transport",ракета,"rocket"
5,"Outside World","Transport",сани,"sled"
5,"Outside World","Transport",коляска,"stroller"
5,"Outside World","Transport",колесо,"wheel"
5,"Outside World","Transport",руль,"steering wheel"
5,"Outside World","Transport",светофор,"traffic light"
5,"Outside World","Transport",билет,"ticket"
5,"Outside World","Public places",дорога,"road"
5,"Outside World","Public places",мост,"bridge"
5,"Outside World","Public places",бассейн,"pool"
5,"Outside World","Public places",фонтан,"fountain"
5,"Outside World","Public places",водопад,"waterfall"
6,"Senses, Sounds & Tech","Sounds & sensations",шум,"noise"
6,"Senses, Sounds & Tech","Sounds & sensations",звук,"sound"
6,"Senses, Sounds & Tech","Sounds & sensations",свет,"light"
6,"Senses, Sounds & Tech","Sounds & sensations",тень,"shadow"
6,"Senses, Sounds & Tech","Sounds & sensations",запах,"smell"
6,"Senses, Sounds & Tech","Sounds & sensations",стук,"knock"
6,"Senses, Sounds & Tech","Sounds & sensations",эхо,"echo"
6,"Senses, Sounds & Tech","Tech & screens",экран,"screen"
6,"Senses, Sounds & Tech","Tech & screens",фильм,"movie"
6,"Senses, Sounds & Tech","Tech & screens",видео,"video"
6,"Senses, Sounds & Tech","Tech & screens",ролик,"video clip"
6,"Senses, Sounds & Tech","Tech & screens",трубка,"phone handset"
6,"Senses, Sounds & Tech","Tech & screens",сериал,"TV series"
6,"Senses, Sounds & Tech","Tech & screens",плеер,"music player"
6,"Senses, Sounds & Tech","Tech & screens",мобильник,"mobile phone"
6,"Senses, Sounds & Tech","Animal-sound verbs (introduced as nouns-of-sound first)",мяу,"meow"
6,"Senses, Sounds & Tech","Animal-sound verbs (introduced as nouns-of-sound first)",гав,"woof"
6,"Senses, Sounds & Tech","Animal-sound verbs (introduced as nouns-of-sound first)",ав-ав,"woof-woof"
6,"Senses, Sounds & Tech","Animal-sound verbs (introduced as nouns-of-sound first)",бах,"bang"
6,"Senses, Sounds & Tech","Animal-sound verbs (introduced as nouns-of-sound first)",бум,"boom"
6,"Senses, Sounds & Tech","Animals — sound verbs",мяукать,"to meow"
6,"Senses, Sounds & Tech","Animals — sound verbs",гавкать,"to bark (colloq.)"
6,"Senses, Sounds & Tech","Animals — sound verbs",лаять,"to bark"
6,"Senses, Sounds & Tech","Animals — sound verbs",хрюкать,"to oink"
6,"Senses, Sounds & Tech","Animals — sound verbs",кукарекать,"to crow"
6,"Senses, Sounds & Tech","Animals — sound verbs",рычать,"to growl / roar"
6,"Senses, Sounds & Tech","Animals — sound verbs",мычать,"to moo"
6,"Senses, Sounds & Tech","Animals — sound verbs",чирикать,"to chirp"
6,"Senses, Sounds & Tech","Animals — sound verbs",квакать,"to croak"
6,"Senses, Sounds & Tech","Animals — sound verbs",кудахтать,"to cluck"
6,"Senses, Sounds & Tech","Feelings as nouns",любовь,"love"
6,"Senses, Sounds & Tech","Feelings as nouns",радость,"joy"
6,"Senses, Sounds & Tech","Feelings as nouns",шутка,"joke"
6,"Senses, Sounds & Tech","Feelings as nouns",надежда,"hope"
6,"Senses, Sounds & Tech","Feelings as nouns",мечта,"dream"
6,"Senses, Sounds & Tech","Feelings as nouns",дружба,"friendship"
6,"Senses, Sounds & Tech","Feelings as nouns",обида,"grievance"
6,"Senses, Sounds & Tech","Feelings as nouns",страх,"fear"
6,"Senses, Sounds & Tech","Misc concrete",вещь,"thing"
6,"Senses, Sounds & Tech","Misc concrete",штука,"thingy"
6,"Senses, Sounds & Tech","Misc concrete",бумага,"paper"
6,"Senses, Sounds & Tech","Misc concrete",шар,"ball / sphere"
6,"Senses, Sounds & Tech","Misc concrete",круг,"circle"
6,"Senses, Sounds & Tech","Misc concrete",стрелка,"arrow"
6,"Senses, Sounds & Tech","Misc concrete",глина,"clay"
6,"Senses, Sounds & Tech","Misc concrete",пух,"down / fluff"
6,"Senses, Sounds & Tech","Misc concrete",ком,"lump"
6,"Senses, Sounds & Tech","Misc concrete",дыра,"hole"
6,"Senses, Sounds & Tech","Misc concrete",яма,"pit"
6,"Senses, Sounds & Tech","Misc concrete",огонёк,"small light"
7,"Essential Adjectives (50)","Size & quantity",длинный,"long"
7,"Essential Adjectives (50)","Size & quantity",короткий,"short"
7,"Essential Adjectives (50)","Size & quantity",высокий,"tall"
7,"Essential Adjectives (50)","Size & quantity",низкий,"low"
7,"Essential Adjectives (50)","Size & quantity",толстый,"thick"
7,"Essential Adjectives (50)","Size & quantity",тонкий,"thin"
7,"Essential Adjectives (50)","Quality",плохой,"bad"
7,"Essential Adjectives (50)","Quality",страшный,"scary"
7,"Essential Adjectives (50)","Temperature & state",горячий,"hot"
7,"Essential Adjectives (50)","Temperature & state",мокрый,"wet"
7,"Essential Adjectives (50)","Brightness & taste",светлый,"light"
7,"Essential Adjectives (50)","Brightness & taste",тёмный,"dark"
7,"Essential Adjectives (50)","Brightness & taste",яркий,"bright"
7,"Essential Adjectives (50)","Brightness & taste",сладкий,"sweet"
7,"Essential Adjectives (50)","Texture & feel",мягкий,"soft"
7,"Essential Adjectives (50)","Texture & feel",твёрдый,"hard"
7,"Essential Adjectives (50)","Texture & feel",пушистый,"fluffy"
7,"Essential Adjectives (50)","Character & feeling",милый,"cute"
7,"Essential Adjectives (50)","Belonging & speed",свой,"one's own"
7,"Essential Adjectives (50)","Belonging & speed",любимый,"favorite"
7,"Essential Adjectives (50)","Belonging & speed",родной,"native / dear"
7,"Essential Adjectives (50)","Belonging & speed",детский,"child's"
7,"Essential Adjectives (50)","Belonging & speed",быстрый,"fast"
7,"Essential Adjectives (50)","Belonging & speed",медленный,"slow"
7,"Essential Adjectives (50)","Belonging & speed",тихий,"quiet"
7,"Essential Adjectives (50)","Belonging & speed",громкий,"loud"
7,"Essential Adjectives (50)","Colors",золотой,"golden"
7,"Essential Adjectives (50)","Colors",цвет,"color"
8,"Verb Sprint (100)","Existing, being, having (covered in Phase 0 — review)",быть,"to be"
8,"Verb Sprint (100)","Core daily verbs",ходить,"to walk / go around"
8,"Verb Sprint (100)","Core daily verbs",слышать,"to hear"
8,"Verb Sprint (100)","Core daily verbs",сказать,"to say"
8,"Verb Sprint (100)","Eating, drinking, sleeping",кушать,"to eat (kid)"
8,"Verb Sprint (100)","Eating, drinking, sleeping",кормить,"to feed"
8,"Verb Sprint (100)","Eating, drinking, sleeping",заснуть,"to fall asleep"
8,"Verb Sprint (100)","Eating, drinking, sleeping",проснуться,"to wake up"
8,"Verb Sprint (100)","Eating, drinking, sleeping",ложиться,"to lie down"
8,"Verb Sprint (100)","Eating, drinking, sleeping",мыться,"to wash"
8,"Verb Sprint (100)","Hands & objects",дать,"to give"
8,"Verb Sprint (100)","Hands & objects",взять,"to take"
8,"Verb Sprint (100)","Hands & objects",найти,"to find"
8,"Verb Sprint (100)","Hands & objects",открыть,"to open"
8,"Verb Sprint (100)","Hands & objects",закрыть,"to close"
8,"Verb Sprint (100)","Hands & objects",поднять,"to lift"
8,"Verb Sprint (100)","Hands & objects",принести,"to bring"
8,"Verb Sprint (100)","Hands & objects",положить,"to put"
8,"Verb Sprint (100)","Hands & objects",кидать,"to throw (colloq.)"
8,"Verb Sprint (100)","Hands & objects",поймать,"to catch (pf)"
8,"Verb Sprint (100)","Hands & objects",гладить,"to stroke"
8,"Verb Sprint (100)","Hands & objects",резать,"to cut"
8,"Verb Sprint (100)","Hands & objects",ломать,"to break"
8,"Verb Sprint (100)","Movement",ехать,"to go (by vehicle)"
8,"Verb Sprint (100)","Movement",ездить,"to drive around"
8,"Verb Sprint (100)","Movement",нырять,"to dive"
8,"Verb Sprint (100)","Movement",расти,"to grow"
8,"Verb Sprint (100)","Movement",вырасти,"to grow up"
8,"Verb Sprint (100)","Social actions",дарить,"to give a gift"
8,"Verb Sprint (100)","Social actions",обнять,"to hug (pf)"
8,"Verb Sprint (100)","Social actions",звать,"to call"
8,"Verb Sprint (100)","Voice & emotion verbs",улыбаться,"to smile"
8,"Verb Sprint (100)","Voice & emotion verbs",стучать,"to knock"
8,"Verb Sprint (100)","Voice & emotion verbs",просить,"to request"
8,"Verb Sprint (100)","Dressing, carrying",надеть,"to put on (pf)"
8,"Verb Sprint (100)","Dressing, carrying",надевать,"to put on"
8,"Verb Sprint (100)","Dressing, carrying",одеть,"to dress sb"
8,"Verb Sprint (100)","Dressing, carrying",одевать,"to dress sb (impf)"
8,"Verb Sprint (100)","Dressing, carrying",носить,"to wear / carry"
9,"Combination Glue","Modals & structure",надо,"need to"
9,"Combination Glue","Modals & structure",нужно,"necessary"
9,"Combination Glue","Modals & structure",можно,"one may"
9,"Combination Glue","Modals & structure",нельзя,"one mustn't"
9,"Combination Glue","Modals & structure",должен,"must"
9,"Combination Glue","Modals & structure",всё,"everything"
9,"Combination Glue","Modals & structure",конечно,"of course"
9,"Combination Glue","Modals & structure",кажется,"it seems"
9,"Combination Glue","Spatial prepositions",по,"along"
9,"Combination Glue","Spatial prepositions",к,"toward"
9,"Combination Glue","Spatial prepositions",из,"out of"
9,"Combination Glue","Spatial prepositions",у,"at"
9,"Combination Glue","Spatial prepositions",от,"from"
9,"Combination Glue","Spatial prepositions",до,"until"
9,"Combination Glue","Spatial prepositions",перед,"in front of"
9,"Combination Glue","Spatial prepositions",около,"near"
9,"Combination Glue","Spatial prepositions",рядом,"next to"
9,"Combination Glue","Directional adverbs",тут,"here"
9,"Combination Glue","Directional adverbs",там,"there"
9,"Combination Glue","Directional adverbs",здесь,"here"
9,"Combination Glue","Directional adverbs",туда,"to there"
9,"Combination Glue","Directional adverbs",сюда,"to here"
9,"Combination Glue","Directional adverbs",дальше,"further"
9,"Combination Glue","Question words",почему,"why"
9,"Combination Glue","Question words",куда,"where to"
9,"Combination Glue","Question words",откуда,"from where"
9,"Combination Glue","Question words",сколько,"how many"
9,"Combination Glue","Question words",какой,"which"
9,"Combination Glue","Question words",чей,"whose"
9,"Combination Glue","Connectives",а,"and / but"
9,"Combination Glue","Connectives",но,"but"
9,"Combination Glue","Connectives",или,"or"
9,"Combination Glue","Connectives",же,"emphasis"
9,"Combination Glue","Connectives",потому что,"because"
9,"Combination Glue","Connectives",если,"if"
9,"Combination Glue","Connectives",чтобы,"in order to"
9,"Combination Glue","Intensity & manner adverbs",так,"so"
9,"Combination Glue","Intensity & manner adverbs",немного,"a little"
9,"Combination Glue","Intensity & manner adverbs",только,"only"
